*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-04 16:27:54:063836,Reading speed:,0.06with0.06delay
2017-12-04 16:27:54:063908,Instruction:,"NumberOfStart:
1
ChildName:
test
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

2017-12-04 16:28:24:910328,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:25:005089,Detected ARTags: ,"30, 31"
2017-12-04 16:28:25:005591,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:25:005637,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:25:103320,Detected ARTags: ,"30, 31"
2017-12-04 16:28:25:103767,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:25:103847,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:25:203384,Detected ARTags: ,"30, 31"
2017-12-04 16:28:25:203885,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:25:203964,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:25:307588,Detected ARTags: ,"30, 31"
2017-12-04 16:28:25:308440,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:25:308504,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:25:411319,Detected ARTags: ,"30, 31"
2017-12-04 16:28:25:412585,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:25:412875,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:25:512676,Detected ARTags: ,"30, 31"
2017-12-04 16:28:25:513780,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:25:513981,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:25:608707,Detected ARTags: ,"30, 31"
2017-12-04 16:28:25:609046,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:25:609183,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:25:714659,Detected ARTags: ,"30, 31"
2017-12-04 16:28:25:716430,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:25:716604,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:25:805371,Detected ARTags: ,"30, 31"
2017-12-04 16:28:25:806121,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:25:806271,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:25:903583,Detected ARTags: ,"30, 31"
2017-12-04 16:28:25:903981,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:25:904096,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:26:003344,Detected ARTags: ,"30, 31"
2017-12-04 16:28:26:003652,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:26:003745,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:26:103290,Detected ARTags: ,"30, 31"
2017-12-04 16:28:26:103881,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:26:103936,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:26:203472,Detected ARTags: ,"30, 31"
2017-12-04 16:28:26:203821,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:26:203696,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:26:314650,Detected ARTags: ,"30, 31"
2017-12-04 16:28:26:316611,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:26:316994,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:26:416160,Detected ARTags: ,"30, 31"
2017-12-04 16:28:26:416515,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:26:517110,Detected ARTags: ,"30, 31"
2017-12-04 16:28:26:517957,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:26:518317,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:26:616770,Detected ARTags: ,"30, 31"
2017-12-04 16:28:26:617016,Current State of Reading: ,Waiting for Red-card
